"lang"
{
	"Language"		"English"
                "DOTA_Tooltip_ability_nova_critical_strike_crit_mult"                             "%CRIT MULTIPLIER:"

                "DOTA_Tooltip_ability_tower_nova_splash_attack"                                   "Nova Blast"
                "DOTA_Tooltip_ability_tower_nova_splash_attack_Description"                       "Deals damage in an area around the target"
                "DOTA_Tooltip_ability_tower_nova_splash_attack_radius_full"                       "FULL DAMAGE RADIUS:"
                "DOTA_Tooltip_ability_tower_nova_splash_attack_radius_medium"                     "MEDIUM DAMAGE RADIUS:"
                "DOTA_Tooltip_ability_tower_nova_splash_attack_splash_damage_percent"             "%BLAST DAMAGE:"

                "DOTA_Tooltip_ability_tower_berserk_splash_attack"                                   "Berserk Splash"
                "DOTA_Tooltip_ability_tower_berserk_splash_attack_Description"                       "Deals damage in an area around the target"
                "DOTA_Tooltip_ability_tower_berserk_splash_attack_radius_full"                       "FULL DAMAGE RADIUS:"
                "DOTA_Tooltip_ability_tower_berserk_splash_attack_radius_medium"                     "MEDIUM DAMAGE RADIUS:"
                "DOTA_Tooltip_ability_tower_berserk_splash_attack_splash_damage_percent"             "%SPLASH DAMAGE:"


                // ******************** ITEMS ********************
                "DOTA_Tooltip_ability_item_example_item"                                          "Example Item"
                "DOTA_Tooltip_ability_item_example_item_Description"                              ""
                "DOTA_Tooltip_ability_item_example_item_duration"                                 "DURATION:"
                "DOTA_Tooltip_ability_item_example_item_damage_reduction"                         "DAMAGE REDUCTION:"
                "DOTA_Tooltip_ability_item_example_item_radius"                                   "RADIUS:"
                "DOTA_Tooltip_ability_item_example_item_speed"                                    "SPEED:"
                "DOTA_Tooltip_ability_item_example_item_distance"                                 "DISTANCE:"
                "DOTA_Tooltip_ability_item_example_item_damage"                                   "DAMAGE:"
	}
}
